ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title
221133_s_at,3.69E-35,8.96E-38,20.495863,75.565919,4.3911239,CLDN18,claudin 18
209614_at,1.01E-34,2.49E-37,20.240203,74.551181,3.4875702,ADH1B,"alcohol dehydrogenase 1B (class I), beta polypeptide"
1552509_a_at,1.05E-34,2.64E-37,20.225949,74.494368,3.2203655,CD300LG,CD300 molecule like family member g
226950_at,1.11E-34,2.84E-37,20.207973,74.422682,2.3770477,ACVRL1,activin A receptor like type 1
209074_s_at,1.11E-34,2.86E-37,20.205515,74.412876,4.6335678,FAM107A,family with sequence similarity 107 member A
1552715_a_at,1.38E-34,3.64E-37,20.145945,74.175025,2.4868278,RXFP1,relaxin/insulin like family peptide receptor 1
210299_s_at,1.38E-34,3.68E-37,20.143326,74.164557,4.4660392,FHL1,four and a half LIM domains 1
226056_at,2.19E-34,5.93E-37,20.024777,73.689863,1.9024995,ARHGAP31,Rho GTPase activating protein 31
202222_s_at,2.28E-34,6.24E-37,20.012377,73.640112,1.965754,DES,desmin
220006_at,2.74E-34,7.63E-37,19.962603,73.440209,1.6036741,EFCC1,EF-hand and coiled-coil domain containing 1
215918_s_at,2.88E-34,8.12E-37,19.946982,73.377408,2.9546198,SPTBN1,"spectrin beta, non-erythrocytic 1"
212071_s_at,3.18E-34,9.08E-37,19.91941,73.266487,1.5802898,SPTBN1,"spectrin beta, non-erythrocytic 1"
204428_s_at,4.14E-34,1.20E-36,19.851229,72.991792,1.8488398,LCAT,lecithin-cholesterol acyltransferase
205472_s_at,4.25E-34,1.25E-36,19.841555,72.952766,1.874511,DACH1,dachshund family transcription factor 1
227821_at,5.98E-34,1.78E-36,19.754156,72.599688,1.1159012,LGI4,leucine rich repeat LGI family member 4
205779_at,6.05E-34,1.82E-36,19.748327,72.576105,2.4356037,RAMP2,receptor activity modifying protein 2
235670_at,6.20E-34,1.89E-36,19.739169,72.539047,3.1015907,STX11,syntaxin 11
230670_at,6.55E-34,2.02E-36,19.722412,72.471213,3.0864626,IGSF10,immunoglobulin superfamily member 10
236029_at,8.56E-34,2.68E-36,19.653936,72.193641,3.0104762,FAT3,FAT atypical cadherin 3
230132_at,9.46E-34,3.02E-36,19.624446,72.073917,2.2318167,PCAT19,prostate cancer associated transcript 19 (non-protein coding)
231804_at,9.46E-34,3.03E-36,19.62334,72.069428,2.4707845,RXFP1,relaxin/insulin like family peptide receptor 1
219866_at,1.15E-33,3.75E-36,19.571431,71.858419,3.4936955,CLIC5,chloride intracellular channel 5
242009_at,1.15E-33,3.79E-36,19.569033,71.84866,4.8136197,SLC6A4,solute carrier family 6 member 4
239650_at,1.26E-33,4.17E-36,19.545396,71.752461,3.5152244,NCKAP5,NCK associated protein 5
205384_at,1.50E-33,5.02E-36,19.500167,71.568181,2.4797059,FXYD1,FXYD domain containing ion transport regulator 1
238906_s_at,1.53E-33,5.20E-36,19.491614,71.533303,2.0326654,RHOJ,ras homolog family member J
224339_s_at,1.64E-33,5.62E-36,19.472832,71.456685,2.0271793,ANGPTL1,angiopoietin like 1
225765_at,2.77E-33,9.63E-36,-19.341784,70.920842,-1.6949383,TNPO1,transportin 1
206651_s_at,3.73E-33,1.31E-35,19.267134,70.614639,4.2785912,CPB2,carboxypeptidase B2
215800_at,4.74E-33,1.68E-35,19.206969,70.367339,2.5665093,DUOX1,dual oxidase 1
210838_s_at,5.49E-33,1.97E-35,19.16853,70.209098,1.7648373,ACVRL1,activin A receptor like type 1
241782_at,6.74E-33,2.44E-35,19.116728,69.995553,2.7256758,NEBL,nebulette
200672_x_at,6.91E-33,2.53E-35,19.108038,69.959698,1.8412128,SPTBN1,"spectrin beta, non-erythrocytic 1"
225883_at,8.13E-33,3.01E-35,19.066454,69.787982,1.2851053,ATG16L2,autophagy related 16 like 2
220765_s_at,8.64E-33,3.23E-35,19.049401,69.717499,1.9959892,LIMS2,LIM zinc finger domain containing 2
229529_at,1.26E-32,4.77E-35,18.956064,69.331075,3.0179588,TCF21,transcription factor 21
239183_at,1.49E-32,5.70E-35,18.913561,69.154741,1.949104,ANGPTL1,angiopoietin like 1
204931_at,1.52E-32,5.88E-35,18.906133,69.1239,4.119467,TCF21,transcription factor 21
204396_s_at,1.61E-32,6.29E-35,18.889679,69.055557,2.5227324,GRK5,G protein-coupled receptor kinase 5
219091_s_at,1.93E-32,7.60E-35,18.844605,68.868169,2.3457004,MMRN2,multimerin 2
205326_at,1.94E-32,7.70E-35,18.841653,68.855889,2.8130367,RAMP3,receptor (G protein-coupled) activity modifying protein 3
239849_at,2.29E-32,9.19E-35,18.799283,68.679488,3.137037,,
218711_s_at,3.69E-32,1.49E-34,18.683387,68.195808,3.5991326,SDPR,serum deprivation response
212975_at,3.79E-32,1.55E-34,18.674665,68.159334,1.8243053,DENND3,DENN domain containing 3
227923_at,5.25E-32,2.19E-34,18.592956,67.817207,2.1390805,SHANK3,SH3 and multiple ankyrin repeat domains 3
204073_s_at,5.25E-32,2.19E-34,18.592898,67.816967,2.5078859,MYRF,myelin regulatory factor
214184_at,6.31E-32,2.66E-34,18.546974,67.6243,1.359366,NPFF,neuropeptide FF-amide peptide precursor
232578_at,6.48E-32,2.75E-34,18.538798,67.589972,5.9096407,CLDN18,claudin 18
206069_s_at,7.13E-32,3.06E-34,18.513762,67.484795,3.3615773,ACADL,"acyl-CoA dehydrogenase, long chain"
226985_at,8.29E-32,3.58E-34,18.476134,67.326573,2.1549658,FGD5,"FYVE, RhoGEF and PH domain containing 5"
212695_at,8.75E-32,3.82E-34,18.461346,67.264343,1.2342432,CRY2,cryptochrome circadian clock 2
210786_s_at,1.10E-31,4.84E-34,18.40536,67.028482,2.0389773,FLI1,"Fli-1 proto-oncogene, ETS transcription factor"
211985_s_at,1.14E-31,5.06E-34,18.394704,66.983543,1.5578043,CALM3///CALM2///CALM1,calmodulin 3///calmodulin 2///calmodulin 1
208983_s_at,1.32E-31,5.91E-34,18.358128,66.829188,2.1991913,PECAM1,platelet and endothelial cell adhesion molecule 1
210190_at,1.60E-31,7.24E-34,18.310484,66.627868,1.917252,STX11,syntaxin 11
231991_at,1.80E-31,8.19E-34,18.281453,66.505055,2.5145894,CCM2L,CCM2 like scaffolding protein
204311_at,1.83E-31,8.41E-34,18.275164,66.478434,0.9776355,ATP1B2,ATPase Na+/K+ transporting subunit beta 2
235131_at,1.83E-31,8.49E-34,18.272829,66.468548,1.1739265,RHOJ,ras homolog family member J
242541_at,2.31E-31,1.08E-33,18.216867,66.231436,1.5858194,ABCA9,ATP binding cassette subfamily A member 9
59375_at,2.47E-31,1.16E-33,18.199087,66.15602,1.7684718,MYO15B,myosin XVB
213417_at,3.02E-31,1.43E-33,18.150419,65.949372,2.1767706,TBX2,T-box 2
202523_s_at,5.35E-31,2.56E-33,18.014472,65.370523,1.5572731,SPOCK2,"sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican) 2"
226984_at,6.27E-31,3.03E-33,17.975627,65.20469,1.6758191,FGD5,"FYVE, RhoGEF and PH domain containing 5"
239148_at,6.41E-31,3.12E-33,-17.968624,65.174771,-1.7553182,MARVELD3,MARVEL domain containing 3
206702_at,7.23E-31,3.55E-33,17.938784,65.047219,3.2045965,TEK,TEK receptor tyrosine kinase
207519_at,9.43E-31,4.66E-33,17.875364,64.775752,3.4936941,SLC6A4,solute carrier family 6 member 4
207864_at,1.09E-30,5.45E-33,17.839095,64.620271,1.9682277,SCN7A,sodium voltage-gated channel alpha subunit 7
1560879_a_at,1.17E-30,5.85E-33,17.822444,64.54883,1.8447099,SYT15,synaptotagmin 15
32259_at,1.23E-30,6.23E-33,17.808056,64.487074,1.1834678,EZH1,enhancer of zeste 1 polycomb repressive complex 2 subunit
205019_s_at,1.26E-30,6.43E-33,17.800485,64.454564,3.4830985,VIPR1,vasoactive intestinal peptide receptor 1
230595_at,1.37E-30,7.05E-33,17.779381,64.363911,1.3627427,PGM5-AS1,PGM5 antisense RNA 1
211984_at,1.78E-30,9.19E-33,17.717964,64.09976,1.2445211,CALM3///CALM2///CALM1,calmodulin 3///calmodulin 2///calmodulin 1
230560_at,2.22E-30,1.16E-32,17.663351,63.864467,4.5971818,STXBP6,syntaxin binding protein 6
204677_at,2.22E-30,1.17E-32,17.662701,63.861661,2.7089732,CDH5,cadherin 5
222416_at,2.36E-30,1.25E-32,-17.64767,63.796834,-1.6254563,ALDH18A1,aldehyde dehydrogenase 18 family member A1
228568_at,3.05E-30,1.62E-32,17.586949,63.534649,2.9422111,MYZAP,myocardial zonula adherens protein
230661_at,3.14E-30,1.68E-32,17.57829,63.497224,1.4981665,LOC286191,uncharacterized LOC286191
210155_at,3.42E-30,1.85E-32,17.556844,63.404484,1.4802554,MYOC,myocilin
228127_at,3.52E-30,1.92E-32,17.54877,63.369553,1.6453534,KCNK3,potassium two pore domain channel subfamily K member 3
204642_at,3.70E-30,2.03E-32,17.535644,63.312748,2.3660647,S1PR1,sphingosine-1-phosphate receptor 1
225681_at,3.73E-30,2.06E-32,-17.532002,63.296985,-4.1725641,CTHRC1,collagen triple helix repeat containing 1
205471_s_at,4.16E-30,2.31E-32,17.505552,63.182441,2.8618638,DACH1,dachshund family transcription factor 1
215211_at,4.24E-30,2.37E-32,17.499483,63.156144,1.5525689,RRN3P1,"RRN3 homolog, RNA polymerase I transcription factor pseudogene 1"
206742_at,4.39E-30,2.47E-32,17.490134,63.11563,4.6536572,PIR-FIGF///FIGF,PIR-FIGF readthrough///c-fos induced growth factor
233057_at,5.53E-30,3.14E-32,17.435571,62.878945,1.81578,HSPB8,heat shock protein family B (small) member 8
217593_at,5.95E-30,3.40E-32,17.417206,62.799193,1.7052945,ZSCAN18,zinc finger and SCAN domain containing 18
228540_at,6.84E-30,3.94E-32,17.383541,62.652889,1.6934478,QKI,"QKI, KH domain containing RNA binding"
215028_at,7.15E-30,4.14E-32,17.371905,62.602291,2.6451937,SEMA6A,semaphorin 6A
228770_at,7.30E-30,4.26E-32,17.36568,62.57521,2.5465862,GPR146,G protein-coupled receptor 146
223449_at,8.10E-30,4.75E-32,17.340466,62.465478,2.2843691,SEMA6A,semaphorin 6A
210628_x_at,9.34E-30,5.51E-32,17.306447,62.317301,1.0803511,LTBP4,latent transforming growth factor beta binding protein 4
240385_at,1.02E-29,6.09E-32,17.283707,62.218163,1.6105803,,
213758_at,1.24E-29,7.40E-32,17.239464,62.025096,1.0927454,COX4I1,cytochrome c oxidase subunit 4I1
234310_s_at,1.26E-29,7.57E-32,17.234309,62.002586,2.2859761,SUSD2,sushi domain containing 2
238206_at,1.54E-29,9.33E-32,17.186579,61.793986,2.6591623,RXFP1,relaxin/insulin like family peptide receptor 1
236088_at,1.69E-29,1.03E-31,17.164139,61.695812,2.0941959,NTNG1,netrin G1
1553243_at,1.74E-29,1.07E-31,17.156248,61.661273,2.6385945,ITIH5,inter-alpha-trypsin inhibitor heavy chain family member 5
215454_x_at,1.77E-29,1.09E-31,17.150917,61.637938,4.2877465,SFTPC,surfactant protein C
229309_at,2.08E-29,1.29E-31,17.11234,61.468947,4.5363188,ADRB1,adrenoceptor beta 1
205200_at,2.13E-29,1.33E-31,17.105624,61.439509,4.0901634,EXOSC7///CLEC3B,exosome component 7///C-type lectin domain family 3 member B
205993_s_at,2.26E-29,1.42E-31,17.09127,61.376566,1.5267481,TBX2,T-box 2
215350_at,2.31E-29,1.46E-31,17.084614,61.347373,2.1651451,SYNE1,spectrin repeat containing nuclear envelope protein 1
226673_at,2.71E-29,1.73E-31,17.046743,61.181157,2.042497,SH2D3C,SH2 domain containing 3C
1559605_a_at,2.87E-29,1.84E-31,17.032172,61.117151,1.8744894,LOC285043,uncharacterized LOC285043
204395_s_at,3.64E-29,2.35E-31,16.97748,60.876676,1.5067825,GRK5,G protein-coupled receptor kinase 5
228766_at,4.09E-29,2.65E-31,16.94977,60.754689,4.4708124,CD36,CD36 molecule
223062_s_at,4.16E-29,2.71E-31,-16.944493,60.731447,-3.8950716,PSAT1,phosphoserine aminotransferase 1
1553447_at,4.16E-29,2.73E-31,16.943403,60.726648,1.4771834,AGBL1,ATP/GTP binding protein like 1
239218_at,4.56E-29,3.01E-31,16.921168,60.628673,2.0019353,PDE1C,phosphodiesterase 1C
236927_at,5.75E-29,3.82E-31,16.867407,60.391525,1.1217017,SVEP1,"sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1"
210815_s_at,6.91E-29,4.62E-31,16.824661,60.2027,3.025274,CALCRL,calcitonin receptor like receptor
232570_s_at,8.32E-29,5.59E-31,16.781678,60.012586,1.6201185,ADAM33,ADAM metallopeptidase domain 33
206868_at,8.43E-29,5.70E-31,16.777347,59.993418,1.4115367,STARD8,StAR related lipid transfer domain containing 8
225369_at,1.18E-28,8.03E-31,16.70017,59.651434,2.2822115,ESAM,endothelial cell adhesion molecule
243481_at,1.24E-28,8.49E-31,16.687598,59.595649,1.9289876,RHOJ,ras homolog family member J
206701_x_at,1.25E-28,8.60E-31,16.684746,59.582992,3.3194612,EDNRB,endothelin receptor type B
221846_s_at,1.25E-28,8.65E-31,16.683595,59.577885,1.7770942,CASKIN2,CASK interacting protein 2
243636_s_at,1.64E-28,1.14E-30,16.621599,59.302481,1.5718344,,
1552318_at,1.96E-28,1.37E-30,16.580783,59.120894,2.3331839,GIMAP1,"GTPase, IMAP family member 1"
208981_at,2.26E-28,1.59E-30,16.54727,58.97164,1.9931477,PECAM1,platelet and endothelial cell adhesion molecule 1
238905_at,2.56E-28,1.81E-30,16.51819,58.84201,1.5833761,RHOJ,ras homolog family member J
228618_at,3.35E-28,2.38E-30,16.457386,58.570616,2.0428066,PEAR1,platelet endothelial aggregation receptor 1
211825_s_at,3.37E-28,2.41E-30,16.454794,58.559034,1.3840199,FLI1,"Fli-1 proto-oncogene, ETS transcription factor"
212494_at,3.47E-28,2.49E-30,16.447282,58.525472,2.0779113,TNS2,tensin 2
223492_s_at,4.15E-28,2.99E-30,16.406121,58.341431,1.9645689,LRRFIP1,LRR binding FLII interacting protein 1
219957_at,4.59E-28,3.33E-30,16.382544,58.23591,2.1889746,RUFY2,RUN and FYVE domain containing 2
242436_at,5.10E-28,3.72E-30,16.357979,58.125898,1.934766,,
219452_at,5.58E-28,4.09E-30,16.336706,58.030562,2.3524476,DPEP2,dipeptidase 2
214641_at,5.65E-28,4.17E-30,16.332748,58.012819,2.0624072,COL4A3,collagen type IV alpha 3 chain
219689_at,6.15E-28,4.56E-30,16.312575,57.922353,2.7315222,SEMA3G,semaphorin 3G
213236_at,6.55E-28,4.88E-30,16.297711,57.85566,1.7130501,SASH1,SAM and SH3 domain containing 1
63305_at,6.56E-28,4.91E-30,16.296224,57.848988,2.1071138,PKNOX2,PBX/knotted 1 homeobox 2
205866_at,6.60E-28,4.97E-30,16.293634,57.837363,4.174333,FCN3,ficolin 3
1558444_at,6.71E-28,5.08E-30,16.288764,57.815504,2.2590331,,
241928_at,7.84E-28,5.96E-30,16.253222,57.655876,1.2085942,,
241929_at,9.84E-28,7.52E-30,16.201755,57.424441,2.001477,,
205357_s_at,9.88E-28,7.61E-30,16.199189,57.412896,3.2163233,AGTR1,angiotensin II receptor type 1
240960_at,9.88E-28,7.63E-30,16.198665,57.410537,2.041392,,
215749_s_at,9.88E-28,7.67E-30,16.197548,57.405511,0.9637207,GORASP1,golgi reassembly stacking protein 1
203296_s_at,1.08E-27,8.45E-30,16.176071,57.308822,2.7089955,ATP1A2,ATPase Na+/K+ transporting subunit alpha 2
1559201_a_at,1.38E-27,1.08E-29,16.121512,57.062936,1.1585492,,
211824_x_at,1.49E-27,1.17E-29,16.10401,56.983979,1.5011269,NLRP1,NLR family pyrin domain containing 1
219993_at,1.74E-27,1.37E-29,16.068581,56.824025,2.5424952,SOX17,SRY-box 17
227178_at,1.75E-27,1.39E-29,16.065772,56.811335,1.9864244,CELF2,"CUGBP, Elav-like family member 2"
200671_s_at,1.92E-27,1.53E-29,16.044946,56.717234,1.6195164,SPTBN1,"spectrin beta, non-erythrocytic 1"
37384_at,1.94E-27,1.56E-29,16.041156,56.700101,1.2244473,PPM1F,"protein phosphatase, Mg2+/Mn2+ dependent 1F"
202908_at,1.96E-27,1.58E-29,16.038143,56.686481,1.629253,WFS1,wolframin ER transmembrane glycoprotein
200904_at,2.42E-27,1.96E-29,15.990581,56.471316,1.5116685,HLA-E,"major histocompatibility complex, class I, E"
201540_at,2.43E-27,1.98E-29,15.988047,56.459845,3.5536583,FHL1,four and a half LIM domains 1
209481_at,2.53E-27,2.07E-29,15.978069,56.414664,1.5312499,SNRK,SNF related kinase
220110_s_at,2.54E-27,2.09E-29,15.97643,56.407243,1.9351515,NXF3,nuclear RNA export factor 3
220560_at,2.62E-27,2.16E-29,15.968911,56.373187,1.6793855,C11orf21,chromosome 11 open reading frame 21
208634_s_at,2.71E-27,2.25E-29,15.960098,56.333262,1.4988614,MACF1,microtubule-actin crosslinking factor 1
203249_at,3.18E-27,2.65E-29,15.924328,56.171117,0.913346,EZH1,enhancer of zeste 1 polycomb repressive complex 2 subunit
241926_s_at,3.30E-27,2.76E-29,15.915116,56.129331,2.0602087,ERG,"ERG, ETS transcription factor"
1555270_a_at,3.71E-27,3.12E-29,15.888184,56.00711,1.7130231,WFS1,wolframin ER transmembrane glycoprotein
1561754_at,4.28E-27,3.62E-29,15.856028,55.861059,1.9013645,,
230872_s_at,4.44E-27,3.77E-29,15.84697,55.819896,1.1459999,ARPC4-TTLL3///TTLL3///ARPC4,ARPC4-TTLL3 readthrough///tubulin tyrosine ligase like 3///actin related protein 2/3 complex subunit 4
213900_at,4.91E-27,4.19E-29,15.82389,55.714963,3.0886075,FAM189A2,family with sequence similarity 189 member A2
225078_at,5.66E-27,4.85E-29,15.791713,55.568555,2.6977641,EMP2,epithelial membrane protein 2
213489_at,5.80E-27,4.99E-29,15.785339,55.53954,1.246881,MAPRE2,microtubule associated protein RP/EB family member 2
240156_at,6.13E-27,5.30E-29,15.772195,55.479683,2.0682904,,
236079_at,6.31E-27,5.48E-29,15.764967,55.446761,1.8218787,LOC202025,uncharacterized LOC202025
219173_at,7.20E-27,6.28E-29,15.735185,55.311036,1.603066,MYO15B,myosin XVB
235568_at,7.62E-27,6.68E-29,15.72174,55.249726,3.5774349,MCEMP1,mast cell expressed membrane protein 1
217507_at,7.65E-27,6.74E-29,15.719906,55.24136,1.990333,SLC11A1,solute carrier family 11 member 1
221747_at,8.07E-27,7.13E-29,15.707435,55.18447,2.4056092,TNS1,tensin 1
239568_at,8.16E-27,7.24E-29,15.704141,55.169437,2.671395,PLEKHH2,"pleckstrin homology, MyTH4 and FERM domain containing H2"
41644_at,9.10E-27,8.11E-29,15.67935,55.056277,1.5459159,SASH1,SAM and SH3 domain containing 1
1555233_at,9.24E-27,8.28E-29,15.674928,55.036083,1.898191,RHOJ,ras homolog family member J
226101_at,9.70E-27,8.72E-29,15.663519,54.983972,1.8718255,PRKCE,protein kinase C epsilon
228111_s_at,9.73E-27,8.78E-29,15.66199,54.97699,1.3712462,DNAH1,dynein axonemal heavy chain 1
61297_at,9.81E-27,8.90E-29,15.659105,54.963808,1.9413185,CASKIN2,CASK interacting protein 2
242736_at,9.95E-27,9.06E-29,15.655208,54.946001,1.8299624,,
211822_s_at,1.01E-26,9.26E-29,15.650381,54.923947,1.1726975,NLRP1,NLR family pyrin domain containing 1
235043_at,1.03E-26,9.48E-29,15.645402,54.901192,1.2043842,FAM122A,family with sequence similarity 122A
236936_at,1.14E-26,1.05E-28,15.62311,54.799274,3.0879384,,
220634_at,1.15E-26,1.06E-28,15.620138,54.785684,1.2661043,TBX4,T-box 4
224448_s_at,1.21E-26,1.12E-28,-15.608166,54.730919,-1.8014932,MIR3934///UQCC2,microRNA 3934///ubiquinol-cytochrome c reductase complex assembly factor 2
209897_s_at,1.22E-26,1.14E-28,15.604965,54.716274,2.5211113,SLIT2,slit guidance ligand 2
213364_s_at,1.22E-26,1.15E-28,15.603391,54.709068,1.7832256,SNX1,sorting nexin 1
215222_x_at,1.22E-26,1.15E-28,15.603258,54.708462,1.4452295,MACF1,microtubule-actin crosslinking factor 1
223895_s_at,1.28E-26,1.21E-28,-15.591936,54.656648,-2.3559165,EPN3,epsin 3
40560_at,1.48E-26,1.41E-28,15.559482,54.50803,2.4028966,TBX2,T-box 2
218876_at,1.60E-26,1.52E-28,15.542094,54.428356,2.5584978,TPPP3,tubulin polymerization promoting protein family member 3
224358_s_at,1.60E-26,1.53E-28,15.5406,54.421506,2.5169651,MS4A7,membrane spanning 4-domains A7
211355_x_at,1.65E-26,1.58E-28,15.533928,54.390923,2.1817152,LEPROT///LEPR,leptin receptor overlapping transcript///leptin receptor
